Order_ID,User_ID,Product_ID,"upid",Shipping_Address_ID,Credit_Card_ID,Subtotal,Tax_Cost,Shipping_Cost,Total_Cost,"date","Created_Date","Updated_Date","Status",Transaction_Number,Tracking_Number,"Tracking_Type","Notes"
30,10,47,"E",NULL,NULL,41,4,91,136,"2014-01-29 18:50:10","2014-01-29 18:50:10","2014-02-23 18:50:10","Delivered",1135610,412662939,"6","Enter Notes Here"
31,14,41,"F",NULL,NULL,30,3,87,120,"2014-01-30 06:35:17","2014-01-30 06:35:17","2014-03-06 06:35:17","In Transit",6915366,807875836,"1","Enter Notes Here"
32,16,32,"E",NULL,NULL,436,39,60,535,"2014-01-30 19:10:14","2014-01-30 19:10:14","2014-02-16 19:10:14","Ready for Pickup",5756210,277147280,"6","Enter Notes Here"
33,10,41,"G",NULL,NULL,396,36,37,469,"2014-02-01 20:20:43","2014-02-01 20:20:43","2014-03-04 20:20:43","Received",7872006,66745676,"6","Enter Notes Here"
34,3,37,"A",NULL,NULL,221,20,45,286,"2014-02-03 10:06:15","2014-02-03 10:06:15","2014-03-06 10:06:15","In Transit",7666335,472321598,"3","Enter Notes Here"
35,3,30,"E",NULL,NULL,161,14,53,228,"2014-02-03 12:46:53","2014-02-03 12:46:53","2014-03-09 12:46:53","Delivered",2553233,653051347,"8","Enter Notes Here"
36,9,9,"E",NULL,NULL,389,35,75,499,"2014-02-03 18:41:11","2014-02-03 18:41:11","2014-03-03 18:41:11","In Transit",8998622,434558779,"2","Enter Notes Here"
37,3,32,"G",NULL,NULL,90,8,86,184,"2014-02-04 21:14:16","2014-02-04 21:14:16","2014-02-24 21:14:16","Delivered",1314306,323374225,"9","Enter Notes Here"
38,15,10,"E",NULL,NULL,56,5,16,77,"2014-02-05 00:13:29","2014-02-05 00:13:29","2014-02-19 00:13:29","Delivered",517352,666657816,"7","Enter Notes Here"
39,19,27,"F",NULL,NULL,208,19,17,244,"2014-02-06 19:57:04","2014-02-06 19:57:04","2014-02-27 19:57:04","Received",3912455,489508198,"8","Enter Notes Here"
40,5,47,"E",NULL,NULL,400,36,78,514,"2014-02-08 11:39:01","2014-02-08 11:39:01","2014-03-05 11:39:01","Delivered",2264456,192395023,"4","Enter Notes Here"
41,11,31,"G",NULL,NULL,92,8,38,138,"2014-02-09 15:27:52","2014-02-09 15:27:52","2014-03-26 15:27:52","Delivered",1686759,128066982,"8","Enter Notes Here"
42,3,6,"E",NULL,NULL,100,9,16,125,"2014-02-09 15:51:54","2014-02-09 15:51:54","2014-02-24 15:51:54","Delivered",8878497,418025061,"5","Enter Notes Here"
43,14,17,"D",NULL,NULL,361,32,85,478,"2014-02-11 18:54:46","2014-02-11 18:54:46","2014-03-22 18:54:46","Delivered",1303599,116781822,"6","Enter Notes Here"
44,3,13,"A",NULL,NULL,144,13,44,201,"2014-02-11 19:37:38","2014-02-11 19:37:38","2014-03-09 19:37:38","Delivered",3610519,516144249,"3","Enter Notes Here"
45,19,44,"F",NULL,NULL,292,26,47,365,"2014-02-13 06:43:57","2014-02-13 06:43:57","2014-03-11 06:43:57","Delivered",6270658,127061366,"1","Enter Notes Here"
46,6,16,"B",NULL,NULL,54,5,87,146,"2014-02-13 06:47:30","2014-02-13 06:47:30","2014-03-20 06:47:30","Received",126270,163143472,"8","Enter Notes Here"
47,5,19,"A",NULL,NULL,222,20,10,252,"2014-02-15 22:35:35","2014-02-15 22:35:35","2014-03-04 22:35:35","Delivered",3832805,416346107,"1","Enter Notes Here"
48,6,15,"G",NULL,NULL,222,20,93,335,"2014-02-18 03:17:48","2014-02-18 03:17:48","2014-03-09 03:17:48","Delivered",5113500,53459708,"6","Enter Notes Here"
49,13,21,"G",NULL,NULL,410,37,53,500,"2014-02-18 13:24:33","2014-02-18 13:24:33","2014-03-18 13:24:33","Delivered",1754476,961170624,"9","Enter Notes Here"
50,21,13,"A",NULL,NULL,102,9,60,171,"2014-02-19 05:46:21","2014-02-19 05:46:21","2014-03-08 05:46:21","Received",4379579,172196560,"2","Enter Notes Here"
51,17,39,"E",NULL,NULL,453,41,98,592,"2014-02-19 09:35:06","2014-02-19 09:35:06","2014-03-06 09:35:06","In Transit",7934292,773245365,"6","Enter Notes Here"
52,22,17,"E",NULL,NULL,301,27,56,384,"2014-02-20 05:01:30","2014-02-20 05:01:30","2014-03-25 05:01:30","Cancelled",4294478,932084844,"2","Enter Notes Here"
53,21,15,"F",NULL,NULL,121,11,16,148,"2014-02-21 04:43:50","2014-02-21 04:43:50","2014-04-08 04:43:50","Cancelled",3523282,486309745,"7","Enter Notes Here"
54,1,24,"E",NULL,NULL,388,35,26,449,"2014-02-21 13:02:42","2014-02-21 13:02:42","2014-04-01 13:02:42","Ready for Pickup",4124089,265439211,"5","Enter Notes Here"
55,1,19,"F",NULL,NULL,279,25,41,345,"2014-02-27 07:20:27","2014-02-27 07:20:27","2014-03-22 07:20:27","Cancelled",2935360,670336388,"4","Enter Notes Here"
56,19,7,"E",NULL,NULL,49,4,90,143,"2014-02-27 20:03:56","2014-02-27 20:03:56","2014-03-13 20:03:56","Ready for Pickup",6088923,884095056,"5","Enter Notes Here"
57,27,39,"E",NULL,NULL,243,22,59,324,"2014-02-28 14:57:05","2014-02-28 14:57:05","2014-04-12 14:57:05","Cancelled",5637309,223107611,"1","Enter Notes Here"
58,29,48,"F",NULL,NULL,341,31,82,454,"2014-03-04 04:31:40","2014-03-04 04:31:40","2014-04-17 04:31:40","Delivered",4467395,142195715,"4","Enter Notes Here"
59,1,24,"D",NULL,NULL,474,43,60,577,"2014-03-04 16:02:35","2014-03-04 16:02:35","2014-03-19 16:02:35","Delivered",2064915,548310592,"4","Enter Notes Here"
60,9,43,"A",NULL,NULL,494,44,95,633,"2014-03-05 01:35:07","2014-03-05 01:35:07","2014-04-02 01:35:07","Delivered",1909599,443939304,"5","Enter Notes Here"
61,23,6,"B",NULL,NULL,195,18,49,262,"2014-03-05 19:39:18","2014-03-05 19:39:18","2014-04-18 19:39:18","Ready for Pickup",8935642,352064185,"4","Enter Notes Here"
62,25,48,"G",NULL,NULL,135,12,69,216,"2014-03-07 17:33:40","2014-03-07 17:33:40","2014-04-24 17:33:40","In Transit",3695968,841257024,"4","Enter Notes Here"
63,3,20,"E",NULL,NULL,162,15,28,205,"2014-03-09 14:00:34","2014-03-09 14:00:34","2014-04-03 14:00:34","Cancelled",5645906,705021328,"3","Enter Notes Here"
64,1,34,"D",NULL,NULL,27,2,61,90,"2014-03-10 06:51:59","2014-03-10 06:51:59","2014-04-10 06:51:59","Delivered",6136268,222183690,"1","Enter Notes Here"
65,5,40,"F",NULL,NULL,134,12,49,195,"2014-03-10 07:42:33","2014-03-10 07:42:33","2014-03-28 07:42:33","Delivered",2226310,540835642,"1","Enter Notes Here"
66,13,49,"A",NULL,NULL,247,22,93,362,"2014-03-10 12:57:05","2014-03-10 12:57:05","2014-04-26 12:57:05","Received",4972706,171978526,"3","Enter Notes Here"
67,3,42,"G",NULL,NULL,272,24,47,343,"2014-03-10 15:30:12","2014-03-10 15:30:12","2014-04-16 15:30:12","In Transit",2404072,27391771,"9","Enter Notes Here"
68,22,46,"B",NULL,NULL,14,1,46,61,"2014-03-10 21:39:19","2014-03-10 21:39:19","2014-04-15 21:39:19","Received",2733027,793004951,"5","Enter Notes Here"
69,23,22,"G",NULL,NULL,420,38,75,533,"2014-03-10 22:11:29","2014-03-10 22:11:29","2014-03-22 22:11:29","Ready for Pickup",9051728,458920348,"9","Enter Notes Here"
70,28,16,"B",NULL,NULL,148,13,81,242,"2014-03-11 03:10:18","2014-03-11 03:10:18","2014-03-21 03:10:18","In Transit",6111715,647408097,"3","Enter Notes Here"
71,22,23,"C",NULL,NULL,42,4,83,129,"2014-03-11 03:10:37","2014-03-11 03:10:37","2014-03-26 03:10:37","Ready for Pickup",8447691,329788755,"8","Enter Notes Here"
72,6,8,"G",NULL,NULL,499,45,20,564,"2014-03-11 20:17:22","2014-03-11 20:17:22","2014-03-20 20:17:22","Delivered",218094,807914033,"4","Enter Notes Here"
73,9,4,"G",NULL,NULL,339,31,31,401,"2014-03-12 01:02:31","2014-03-12 01:02:31","2014-04-22 01:02:31","Delivered",8599833,726252010,"7","Enter Notes Here"
74,31,32,"D",NULL,NULL,318,29,29,376,"2014-03-12 05:16:13","2014-03-12 05:16:13","2014-03-26 05:16:13","Ready for Pickup",7851498,777858849,"8","Enter Notes Here"
75,16,31,"B",NULL,NULL,287,26,53,366,"2014-03-12 05:42:21","2014-03-12 05:42:21","2014-04-07 05:42:21","Delivered",6601517,537014143,"4","Enter Notes Here"
76,2,6,"C",NULL,NULL,169,15,54,238,"2014-03-13 03:13:16","2014-03-13 03:13:16","2014-04-29 03:13:16","Cancelled",6119861,607468408,"2","Enter Notes Here"
77,6,48,"G",NULL,NULL,233,21,49,303,"2014-03-15 14:57:42","2014-03-15 14:57:42","2014-04-15 14:57:42","Ready for Pickup",2873622,541856700,"5","Enter Notes Here"
78,22,21,"E",NULL,NULL,237,21,23,281,"2014-03-16 11:12:00","2014-03-16 11:12:00","2014-04-19 11:12:00","Delivered",2272080,431698586,"6","Enter Notes Here"
79,18,35,"F",NULL,NULL,31,3,27,61,"2014-03-18 05:32:53","2014-03-18 05:32:53","2014-04-04 05:32:53","In Transit",4332290,248634816,"8","Enter Notes Here"
80,27,42,"G",NULL,NULL,117,11,83,211,"2014-03-18 16:08:59","2014-03-18 16:08:59","2014-04-22 16:08:59","Received",1290380,276946435,"5","Enter Notes Here"
81,8,49,"E",NULL,NULL,436,39,78,553,"2014-03-19 00:25:39","2014-03-19 00:25:39","2014-05-01 00:25:39","Delivered",4224357,158118662,"8","Enter Notes Here"
82,9,17,"C",NULL,NULL,491,44,14,549,"2014-03-19 01:45:19","2014-03-19 01:45:19","2014-05-02 01:45:19","Received",1476388,435513673,"5","Enter Notes Here"
83,29,9,"C",NULL,NULL,107,10,55,172,"2014-03-19 03:25:36","2014-03-19 03:25:36","2014-04-25 03:25:36","Delivered",1130099,584436968,"2","Enter Notes Here"
84,32,14,"D",NULL,NULL,314,28,75,417,"2014-03-19 05:42:07","2014-03-19 05:42:07","2014-05-06 05:42:07","Delivered",783225,124562138,"2","Enter Notes Here"
85,14,34,"A",NULL,NULL,187,17,46,250,"2014-03-20 02:44:00","2014-03-20 02:44:00","2014-05-05 02:44:00","In Transit",3375971,815696799,"6","Enter Notes Here"
86,14,3,"C",NULL,NULL,224,20,82,326,"2014-03-20 04:40:54","2014-03-20 04:40:54","2014-04-01 04:40:54","Delivered",5208123,645187819,"5","Enter Notes Here"
87,17,17,"B",NULL,NULL,124,11,18,153,"2014-03-20 19:02:00","2014-03-20 19:02:00","2014-03-28 19:02:00","Delivered",8126217,147118982,"5","Enter Notes Here"
88,13,7,"G",NULL,NULL,94,8,45,147,"2014-03-20 21:10:43","2014-03-20 21:10:43","2014-05-03 21:10:43","Delivered",4950307,683329715,"9","Enter Notes Here"
89,37,27,"D",NULL,NULL,154,14,69,237,"2014-03-22 00:34:14","2014-03-22 00:34:14","2014-04-20 00:34:14","In Transit",4102904,156713500,"8","Enter Notes Here"
90,25,7,"C",NULL,NULL,477,43,100,620,"2014-03-22 01:49:24","2014-03-22 01:49:24","2014-05-04 01:49:24","Cancelled",5275880,51914080,"6","Enter Notes Here"
91,22,5,"F",NULL,NULL,301,27,57,385,"2014-03-22 10:15:51","2014-03-22 10:15:51","2014-04-03 10:15:51","Cancelled",9656399,354959599,"4","Enter Notes Here"
92,1,24,"G",NULL,NULL,407,37,60,504,"2014-03-22 19:37:46","2014-03-22 19:37:46","2014-04-15 19:37:46","Delivered",586735,33818029,"6","Enter Notes Here"
93,3,17,"A",NULL,NULL,490,44,68,602,"2014-03-23 08:33:56","2014-03-23 08:33:56","2014-05-09 08:33:56","Received",900845,17697368,"2","Enter Notes Here"
94,15,32,"E",NULL,NULL,36,3,81,120,"2014-03-23 08:37:48","2014-03-23 08:37:48","2014-04-20 08:37:48","Delivered",9013558,145754406,"1","Enter Notes Here"
95,18,14,"A",NULL,NULL,493,44,55,592,"2014-03-23 23:02:35","2014-03-23 23:02:35","2014-04-29 23:02:35","Received",2698838,55557894,"1","Enter Notes Here"
96,15,9,"F",NULL,NULL,144,13,13,170,"2014-03-24 00:25:53","2014-03-24 00:25:53","2014-05-04 00:25:53","Delivered",418053,441996655,"7","Enter Notes Here"
97,28,14,"E",NULL,NULL,408,37,43,488,"2014-03-24 03:49:02","2014-03-24 03:49:02","2014-04-22 03:49:02","Received",4737807,812724596,"2","Enter Notes Here"
98,3,29,"A",NULL,NULL,384,35,28,447,"2014-03-24 18:35:27","2014-03-24 18:35:27","2014-04-08 18:35:27","Cancelled",4711878,678079998,"2","Enter Notes Here"
99,39,29,"C",NULL,NULL,52,5,68,125,"2014-03-25 03:06:58","2014-03-25 03:06:58","2014-04-16 03:06:58","Delivered",8215304,697618555,"9","Enter Notes Here"
100,8,20,"A",NULL,NULL,194,17,50,261,"2014-03-25 09:35:48","2014-03-25 09:35:48","2014-04-12 09:35:48","Cancelled",5724575,713508024,"3","Enter Notes Here"
101,39,15,"B",NULL,NULL,429,39,10,478,"2014-03-25 15:32:29","2014-03-25 15:32:29","2014-04-08 15:32:29","Delivered",9140191,710060183,"4","Enter Notes Here"
102,12,23,"G",NULL,NULL,352,32,78,462,"2014-03-26 19:33:20","2014-03-26 19:33:20","2014-04-30 19:33:20","Delivered",2320825,993859395,"8","Enter Notes Here"
103,39,34,"D",NULL,NULL,409,37,19,465,"2014-03-26 19:42:27","2014-03-26 19:42:27","2014-04-30 19:42:27","Ready for Pickup",7190575,713030388,"3","Enter Notes Here"
104,5,18,"A",NULL,NULL,162,15,25,202,"2014-03-27 00:19:38","2014-03-27 00:19:38","2014-04-15 00:19:38","Delivered",4860745,471840755,"1","Enter Notes Here"
105,12,1,"F",NULL,NULL,322,29,87,438,"2014-03-27 09:16:25","2014-03-27 09:16:25","2014-05-12 09:16:25","In Transit",5992573,784974955,"9","Enter Notes Here"
106,14,42,"B",NULL,NULL,179,16,19,214,"2014-03-28 18:03:01","2014-03-28 18:03:01","2014-04-21 18:03:01","Received",3420225,933372988,"7","Enter Notes Here"
107,29,44,"E",NULL,NULL,475,43,84,602,"2014-03-28 23:36:12","2014-03-28 23:36:12","2014-05-10 23:36:12","In Transit",2910581,556843795,"9","Enter Notes Here"
108,2,23,"C",NULL,NULL,300,27,83,410,"2014-03-29 01:27:47","2014-03-29 01:27:47","2014-05-12 01:27:47","Cancelled",5605990,818778596,"8","Enter Notes Here"
109,18,41,"E",NULL,NULL,148,13,38,199,"2014-03-29 03:44:18","2014-03-29 03:44:18","2014-04-26 03:44:18","Delivered",8581824,445585755,"8","Enter Notes Here"
110,35,3,"B",NULL,NULL,318,29,29,376,"2014-03-29 18:31:49","2014-03-29 18:31:49","2014-04-28 18:31:49","Received",3237621,111042174,"4","Enter Notes Here"
111,41,40,"F",NULL,NULL,66,6,93,165,"2014-03-29 22:28:48","2014-03-29 22:28:48","2014-04-21 22:28:48","Received",5755618,669141263,"7","Enter Notes Here"
112,2,28,"E",NULL,NULL,360,32,17,409,"2014-03-30 05:57:46","2014-03-30 05:57:46","2014-04-07 05:57:46","In Transit",4592749,450807276,"7","Enter Notes Here"
113,28,44,"D",NULL,NULL,25,2,89,116,"2014-03-30 06:28:35","2014-03-30 06:28:35","2014-04-18 06:28:35","Received",8650113,703061361,"5","Enter Notes Here"
114,23,26,"D",NULL,NULL,42,4,86,132,"2014-04-01 01:45:42","2014-04-01 01:45:42","2014-05-13 01:45:42","Received",267662,778140789,"1","Enter Notes Here"
115,25,5,"E",NULL,NULL,344,31,78,453,"2014-04-01 07:33:42","2014-04-01 07:33:42","2014-05-09 07:33:42","Delivered",9036001,620858656,"2","Enter Notes Here"
116,40,9,"C",NULL,NULL,395,36,34,465,"2014-04-01 11:08:11","2014-04-01 11:08:11","2014-05-04 11:08:11","Ready for Pickup",1436596,144025597,"2","Enter Notes Here"
117,24,13,"G",NULL,NULL,120,11,44,175,"2014-04-03 08:58:26","2014-04-03 08:58:26","2014-04-14 08:58:26","Delivered",7299188,765575617,"6","Enter Notes Here"
118,17,33,"D",NULL,NULL,213,19,100,332,"2014-04-03 14:15:09","2014-04-03 14:15:09","2014-04-18 14:15:09","Delivered",9147584,678013674,"1","Enter Notes Here"
119,32,21,"E",NULL,NULL,128,12,24,164,"2014-04-03 19:01:32","2014-04-03 19:01:32","2014-05-19 19:01:32","In Transit",3441972,180754699,"6","Enter Notes Here"
120,43,36,"B",NULL,NULL,226,20,38,284,"2014-04-04 02:12:46","2014-04-04 02:12:46","2014-04-20 02:12:46","Delivered",5211155,107800431,"6","Enter Notes Here"
121,31,43,"C",NULL,NULL,239,22,14,275,"2014-04-04 09:19:56","2014-04-04 09:19:56","2014-05-15 09:19:56","Ready for Pickup",6994280,324766061,"3","Enter Notes Here"
122,30,43,"C",NULL,NULL,446,40,78,564,"2014-04-04 20:01:18","2014-04-04 20:01:18","2014-05-11 20:01:18","In Transit",9757394,918420175,"9","Enter Notes Here"
123,32,43,"A",NULL,NULL,90,8,99,197,"2014-04-05 06:24:19","2014-04-05 06:24:19","2014-04-22 06:24:19","Delivered",6844001,939415835,"8","Enter Notes Here"
124,21,18,"A",NULL,NULL,159,14,84,257,"2014-04-05 09:06:02","2014-04-05 09:06:02","2014-04-24 09:06:02","Delivered",4093476,828408335,"2","Enter Notes Here"
125,1,47,"D",NULL,NULL,133,12,36,181,"2014-04-05 09:13:39","2014-04-05 09:13:39","2014-04-26 09:13:39","Delivered",4377304,511437528,"2","Enter Notes Here"
126,1,45,"A",NULL,NULL,462,42,39,543,"2014-04-05 19:27:57","2014-04-05 19:27:57","2014-05-04 19:27:57","Delivered",2194391,981794971,"2","Enter Notes Here"
127,16,45,"F",NULL,NULL,478,43,78,599,"2014-04-07 17:18:32","2014-04-07 17:18:32","2014-04-21 17:18:32","Delivered",4776833,671163453,"2","Enter Notes Here"
128,7,27,"G",NULL,NULL,98,9,39,146,"2014-04-08 06:03:29","2014-04-08 06:03:29","2014-05-14 06:03:29","Delivered",7481560,109984723,"6","Enter Notes Here"
129,11,29,"B",NULL,NULL,145,13,79,237,"2014-04-08 11:07:26","2014-04-08 11:07:26","2014-04-18 11:07:26","Delivered",3534845,538591490,"7","Enter Notes Here"
130,36,15,"C",NULL,NULL,198,18,57,273,"2014-04-08 12:23:51","2014-04-08 12:23:51","2014-04-20 12:23:51","Delivered",6926989,657290978,"3","Enter Notes Here"
131,30,35,"D",NULL,NULL,264,24,98,386,"2014-04-08 23:29:07","2014-04-08 23:29:07","2014-04-19 23:29:07","Received",4738537,192257114,"4","Enter Notes Here"
132,35,11,"A",NULL,NULL,461,41,18,520,"2014-04-09 07:00:47","2014-04-09 07:00:47","2014-04-30 07:00:47","Delivered",5326325,470800270,"8","Enter Notes Here"
133,11,50,"C",NULL,NULL,18,2,37,57,"2014-04-09 10:00:31","2014-04-09 10:00:31","2014-04-16 10:00:31","Delivered",543486,396396089,"8","Enter Notes Here"
134,19,18,"D",NULL,NULL,163,15,23,201,"2014-04-10 10:22:57","2014-04-10 10:22:57","2014-05-06 10:22:57","Delivered",2291789,581073715,"4","Enter Notes Here"
135,30,3,"E",NULL,NULL,452,41,80,573,"2014-04-10 22:01:25","2014-04-10 22:01:25","2014-05-01 22:01:25","Received",8044327,860411891,"2","Enter Notes Here"
136,2,28,"G",NULL,NULL,140,13,25,178,"2014-04-11 00:51:05","2014-04-11 00:51:05","2014-05-18 00:51:05","In Transit",6464956,874520469,"7","Enter Notes Here"
137,21,33,"D",NULL,NULL,397,36,57,490,"2014-04-11 05:27:20","2014-04-11 05:27:20","2014-04-28 05:27:20","Delivered",2202173,535630438,"9","Enter Notes Here"
138,1,45,"D",NULL,NULL,388,35,66,489,"2014-04-11 17:39:40","2014-04-11 17:39:40","2014-05-16 17:39:40","In Transit",6430070,716694503,"8","Enter Notes Here"
139,15,15,"C",NULL,NULL,433,39,66,538,"2014-04-12 09:13:51","2014-04-12 09:13:51","2014-05-06 09:13:51","Delivered",1069909,210243863,"4","Enter Notes Here"
140,27,15,"C",NULL,NULL,494,44,72,610,"2014-04-13 20:15:43","2014-04-13 20:15:43","2014-04-24 20:15:43","Delivered",4511458,831338210,"1","Enter Notes Here"
141,18,2,"A",NULL,NULL,355,32,27,414,"2014-04-14 03:35:39","2014-04-14 03:35:39","2014-05-23 03:35:39","Delivered",2411291,116905632,"1","Enter Notes Here"
142,47,17,"E",NULL,NULL,476,43,19,538,"2014-04-14 17:44:42","2014-04-14 17:44:42","2014-05-03 17:44:42","Delivered",8309808,990461442,"6","Enter Notes Here"
143,42,29,"B",NULL,NULL,99,9,53,161,"2014-04-14 23:02:01","2014-04-14 23:02:01","2014-05-05 23:02:01","Delivered",2986369,167319289,"2","Enter Notes Here"
144,22,31,"G",NULL,NULL,109,10,74,193,"2014-04-15 05:30:09","2014-04-15 05:30:09","2014-05-10 05:30:09","In Transit",1177868,257004830,"7","Enter Notes Here"
145,27,48,"G",NULL,NULL,67,6,17,90,"2014-04-15 17:34:09","2014-04-15 17:34:09","2014-04-24 17:34:09","Ready for Pickup",7444302,62751387,"4","Enter Notes Here"
146,14,23,"A",NULL,NULL,323,29,13,365,"2014-04-16 00:54:48","2014-04-16 00:54:48","2014-05-29 00:54:48","Delivered",2618355,246686168,"4","Enter Notes Here"
147,20,10,"B",NULL,NULL,146,13,70,229,"2014-04-16 02:42:58","2014-04-16 02:42:58","2014-05-03 02:42:58","Cancelled",5633251,542234854,"6","Enter Notes Here"
148,38,16,"G",NULL,NULL,84,8,15,107,"2014-04-16 05:06:03","2014-04-16 05:06:03","2014-05-20 05:06:03","Delivered",1116139,584814618,"8","Enter Notes Here"
149,38,35,"C",NULL,NULL,459,41,100,600,"2014-04-16 13:00:31","2014-04-16 13:00:31","2014-05-18 13:00:31","Delivered",3863815,380904411,"7","Enter Notes Here"
150,35,5,"F",NULL,NULL,446,40,80,566,"2014-04-17 16:14:01","2014-04-17 16:14:01","2014-06-04 16:14:01","In Transit",3577587,652249969,"8","Enter Notes Here"
151,43,45,"G",NULL,NULL,207,19,86,312,"2014-04-19 20:22:57","2014-04-19 20:22:57","2014-06-06 20:22:57","Delivered",1620170,254692514,"3","Enter Notes Here"
